id,city,type,squareMeters,Size of Apartment,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
6539933d82d435c847036da324f7b34d,gdansk,blockOfFlats,60.38,Big,2,1,4,2011,54.34135,18.65233,0.9,10,0.37,0.186,0.398,0.477,0.28,1.571,0.379,condominium,,,no,no,yes,no,no,3300
34f23e417cd859bdbdb51404e3e6bc97,warszawa,apartmentBuilding,60.4,Big,3,3,4,2016,52.16591,21.07234,8.69,21,0.5,1.393,0.305,0.064,0.027,2.173,0.143,condominium,brick,,no,yes,yes,yes,no,5190
a2f2ae23d76d45fc1352a6baf70f8cae,warszawa,blockOfFlats,60.43,Big,3,1,3,2000,52.1999276,20.960294,4.6,17,0.308,1.118,0.469,0.137,0.249,1.713,0.354,condominium,brick,premium,yes,yes,no,no,yes,4400
e100f39278b752e88335adc62253e03e,warszawa,apartmentBuilding,60.49,Big,3,5,8,2024,52.27143,21.05838,5.78,20,0.312,1.387,0.416,0.169,0.106,0.382,0.325,condominium,brick,,no,no,yes,no,no,4600
24c710d8bef91920f831a38c5b1bb2bd,wroclaw,blockOfFlats,60.5,Big,3,4,4,2021,51.05375,17.05464,6.57,2,1.847,2.155,0.646,0.517,0.254,3.374,0.38,condominium,,,no,yes,yes,no,no,3600
b93e3bffa66af25a32977584fec9772e,gdansk,,60.66,Big,3,2,4,2023,54.331324,18.550894,7,3,1.218,2.653,0.947,0.235,0.876,2.956,0.404,condominium,,,yes,yes,no,no,yes,2700
8b4cacfc8dac93736a5baa146eab2af9,warszawa,apartmentBuilding,60.66,Big,2,2,8,2021,52.232746,21.0103632,0.48,88,0.292,0.282,0.137,0.418,0.051,0.345,0.097,condominium,brick,,no,yes,yes,no,no,6800
4ca170aa0fc7705f94ed5081aab1dc7d,warszawa,apartmentBuilding,60.66,Big,2,2,8,2021,52.232746,21.0103632,0.48,88,0.292,0.282,0.137,0.418,0.051,0.345,0.097,condominium,brick,,no,yes,yes,no,no,6800
c2496c05ea2ad16970355ea04ffd20f5,katowice,apartmentBuilding,60.66,Big,3,1,4,2020,50.2013395,18.9895113,6.8,0,2.75,2.799,3.64,2.821,2.857,,2.904,condominium,brick,premium,yes,yes,yes,no,no,3500
fa66dfb5067041897ee4d1c559451979,warszawa,apartmentBuilding,60.66,Big,2,2,8,2018,52.22986,20.9975,0.46,64,0.149,0.135,0.046,0.349,0.101,0.789,0.28,condominium,brick,,no,no,yes,no,no,6800
